ID,crash_style,max,mean,norm,record_time,baseID
1,3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:39,1
1,-3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:39,1
1,4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:39,1
1,-4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:39,1
1,5,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:39,1
1,-5,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:39,1
1,6,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:39,1
1,-6,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:39,1
2,3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:41,2
2,-3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:41,2
2,4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:41,2
2,-4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:41,2
2,5,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:41,2
2,-5,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:41,2
2,6,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:41,2
2,-6,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:41,2
3,3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:44,3
3,-3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:44,3
3,4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:44,3
3,-4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:44,3
3,5,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:44,3
3,-5,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:44,3
3,6,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:44,3
3,-6,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:44,3
4,3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:47,4
4,-3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:47,4
4,4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:47,4
4,-4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:47,4
4,5,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:47,4
4,-5,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:47,4
4,6,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:47,4
4,-6,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:47,4
5,3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:49,5
5,-3,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:49,5
5,4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:49,5
5,-4,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:49,5
5,5,17378.71258792,2705.990510469576,178.05147243568547,2020-02-25 11:57:49,5
