-4028.66489232,-473.66953745,-440.15618999
-4251.1455292,1680.76977812,8783.66941311
1231.35934296,2903.90887043,5483.30378121
6057.78939966,734.16570488,1400.37842807
-3758.5282989,3503.9675031,-252.86865546
-1031.68319406,7293.15572316,-341.2305068
1366.04221814,2943.8527676,804.34217824
-6029.19111906,-1520.72190152,2570.543203
-3560.45505323,1019.33436029,-3061.04989197
-5748.94543621,-677.04380043,-2627.41042439
71.70461175,-492.08515765,-5175.71885425
-4570.88418557,-5018.66512202,-4744.7171477
-4375.12948983,6202.92739584,-6999.97646239
-2029.11539379,2460.86050302,3170.80725187
6824.27487915,3011.48463368,-1020.23571304
6463.34537818,-5226.08097185,-1803.1603248
2041.95651613,-2205.28065387,-2652.60424944
-1655.84485309,1885.96477099,6964.53822192
5423.37923938,1011.72159573,-1737.9318844
6177.94927754,883.14086797,-831.48312294
-1253.04590118,5155.62348768,1819.02493719
1467.44200529,-590.79903369,3261.0247861
603.77315176,2333.86673861,2389.92477838
1561.60941054,4457.93136938,3440.02412149
6842.36457472,1714.17450619,-2284.01294764
-6038.85557214,-3006.29890963,-7714.42515064
-412.34918641,-4594.24433981,670.58932464
4519.1201283,4318.3820125,-7153.32034078
